ligand_id,tier,source_pdb,ligand_code,name,smiles,mw
Cmpd-P01,primary,1BR6,PT1,Pteroic acid,"c1cc(ccc1C(=O)O)NCc2cnc3c(n2)c(nc(n3)N)O",312.283
Cmpd-S01,power,4ESI,0RB,"2-amino-4-oxo-N-(1H-1,2,3-triazol-5-ylmethyl)-1,4-dihydropteridine-7-carboxamide","c1c([nH]nn1)CNC(=O)c2cnc3c(n2)NC(=NC3=O)N",287.238
Cmpd-S02,power,4HV7,19J,"2-[2-[(2-amino-4-oxo-1H-pteridin-7-yl)carbonylamino]ethanoylamino]ethanoic acid","c1c(nc2c(n1)C(=O)N=C(N2)N)C(=O)NCC(=O)NCC(=O)O",321.249
Cmpd-S03,power,4MX1,1MX,"2-amino-4-oxo-N-{2-[(phenylcarbamoyl)amino]ethyl}-3,4-dihydropteridine-7-carboxamide","c1ccc(cc1)NC(=O)NCCNC(=O)c2cnc3c(n2)N=C(NC3=O)N",368.35
Cmpd-S04,power,3EJ5,EJ5,"4-[3-(2-amino-4-hydroxy-6-oxo-1,6-dihydropyrimidin-5-yl)propyl]benzoic acid","c1cc(ccc1CCCC2=C(N=C(NC2=O)N)O)C(=O)O",289.287
Cmpd-S05,power,7XZS,I8T,"(2S)-2-[(2-amino-4-oxo-3H-pteridin-7-yl)carbonylamino]-3-(4-hydroxyphenyl)propanoic acid","c1cc(ccc1C[C@@H](C(=O)O)NC(=O)c2cnc3c(n2)N=C(NC3=O)N)O",370.32
Cmpd-S06,power,7XZU,IEK,"(2S)-2-[(2-amino-4-oxo-3H-pteridin-7-yl)carbonylamino]-3-phenyl-propanoic acid","c1ccc(cc1)C[C@@H](C(=O)O)NC(=O)c2cnc3c(n2)N=C(NC3=O)N",354.32
Cmpd-S07,power,3PX8,JP2,"2-amino-4-oxo-1,4-dihydropteridine-7-carboxylic acid","c1c(nc2c(n1)C(=O)N=C(N2)N)C(=O)O",207.146
Cmpd-S08,power,4HUO,RS8,"N-[(2-amino-4-oxo-1,4-dihydropteridin-7-yl)carbonyl]glycyl-L-phenylalanine","c1ccc(cc1)C[C@@H](C(=O)O)NC(=O)CNC(=O)c2cnc3c(n2)NC(=NC3=O)N",411.371
Cmpd-S09,power,1BR5,NEO,Neopterin,"c1c(nc2c(n1)N=C(NC2=O)N)[C@H]([C@@H](CO)O)O",253.215
Cmpd-S10,power,6URW,R7T,"4-[(thiophen-2-yl)methyl]benzoic acid","c1cc(sc1)Cc2ccc(cc2)C(=O)O",218.272
