apo_pdb,apo_chain,holo_pdb,holo_chain,ligand_field,motion_type,paper_ca_rmsd_nm,paper_allatom_rmsd_nm
3PPN,A,3PPR,B,4CS,id,reverse,0.124403201043605
4W51,A,4W58,A,3H2,ssc,forward,0.0719656646251678
4I92,A,4I94,B,ANP,id,forward,0.104720942676067
6E5D,A,6E5F,A,L6T,ssm,forward,0.0793327018618583
5H9A,A,6E5L,A,HVD,loop,forward,0.0987700670957565
4IC4,A,4INQ,A,PIF,loop,forward,0.0761295929551124
1EZM,A,3DBK,A,RDF,id,reverse,0.124352745711803
1S2O,A,1U2S,A,GLC,id,reverse,0.3336001932621
1TVQ,A,1TW4,A,2xCHD,ssm,forward,0.116176895797252
2OY4,A,3DPF,A,AXB,loop,forward,0.0835869386792182
5NIA,A,5NI6,A,DJ3,"ssm, loop",forward,0.213773101568222
1Y1A,A,1Y1A,B,GSH,ssc,forward,0.26612177491188
3NX1,A,3NX2,A,FER,ssm,forward,0.0882667824625969
1KX9,B,1N8V,B,3xBDD,ssm,forward,0.179813459515571
5NZM,A,2OEG,A,UPG,id,reverse,0.260316580533981
6YPK,A,5OSZ,A,AHK:403,ssc,forward,0.123862966895103
2CEY,A,6H76,A,SLB,id,reverse,0.285921663045883
1URP,A,2DRI,A,RIP,id,reverse,0.406189024448394
3FVJ,A,2B03,A,TUD,ssc,forward,0.147015586495399
3UGK,A,3UH1,A,"NAI,SHR","id, loop",reverse,0.318421423435211
2ZKU,B,3VQS,A,JT1,loop,forward,0.125272646546363
5ZA4,A,5YYB,A,NGE,id,reverse,0.34346255660057
4V38,A,4V3B,A,C,id,reverse,0.374664217233657
3P53,A,6I11,A,H0H,id,forward,0.397930145263671
2HQ8,B,2HPS,A,CTZ,ssm,forward,0.401585161685943
2W9T,A,2W9S,C,"NDP,TOP",loop,forward,0.162601068615913
4R72,A,4R74,D,F6P,id,reverse,0.411670684814453
3QXW,B,3QXV,A,MTX,ssc,forward,0.104688972234725
3KJE,A,3KJG,A,ADP,ssc,forward,0.16321961581707
2LAO,A,1LAH,E,ORN,id,reverse,0.475467234849929
4P0I,B,5OTA,A,AQQ,id,reverse,0.498600482940673
1KMO,A,1KMP,A,2xCIT-2xFe,"ssc, loop",reverse,0.178831025958061
1J8F,C,6QCN,B,AR6,id,reverse,0.341744869947433
5UXA,A,5IGY,A,"GDP-Ca,ERY","ssc, ssm, id",reverse,0.266196101903915
6HB0,A,6HBD,A,GZL,"id, ssc",reverse,0.413601845502853
2FJY,A,2P70,A,2xPRZ,lr,forward**,0.56058669090271
5G1M,A,5G3R,A,"89A,NAG","ssc, loop",reverse,0.317418247461318
6RVM,C,5XDT,A,ZI7-Ca,lr,n/a,1.05858242511749
1K3F,B,1U1D,F,181,loop,reverse,0.203164651989936
1OK8,A,1OKE,B,BOG,ssc,forward,1.22884666919708
2OHG,A,2OHV,A,NHL,loop,forward,0.117331430315971
2WGB,A,2V57,A,"PRL,IPA",lr,forward**,0.456112176179885
3RWV,A,3S0K,A,03F,ssm,forward,0.108793430030345
