pdbid,status
3uri,ok
3wz8,ok
3pww,ok
2v00,ok
4m0z,ok
4m0y,ok
5c2h,ok
3ui7,ok
3uuo,ok
5c28,ok
4llx,ok
3prs,ok
4qd6,ok
3qgy,ok
4cra,ok
4cr9,ok
4rfm,ok
4ty7,ok
4x6p,ok
4crc,ok
5aba,ok
4agn,ok
4agp,ok
5a7b,ok
3bgz,ok
3jya,ok
2c3i,ok
4k18,ok
4agq,ok
5dwr,ok
3k5v,ok
3pyy,ok
2v7a,ok
4twp,ok
3wtj,ok
3mss,ok
1g2k,ok
1eby,ok
1a30,ok
2qnq,ok
3zdg,ok
4lzs,ok
4qac,ok
3o9i,ok
4wiv,ok
3p5o,ok
3u5j,ok
3u8k,ok
4ogj,ok
1ps3,ok
3dx1,ok
3u8n,ok
3l7b,ok
4eky,ok
3syr,ok
3g2n,ok
3dx2,ok
3ejr,ok
3d4z,ok
2w4x,ok
3ebp,ok
2w66,ok
2wca,ok
3arv,ok
3aru,ok
2vvn,ok
3arp,ok
2xj7,ok
3ary,ok
4eo8,ok
3arq,ok
3cj4,ok
4ih7,ok
3gnw,ok
4ih5,ok
1gpk,ok
1gpn,ok
1h22,ok
2wbg,ok
2cbv,ok
1e66,ok
1h23,ok
2j78,ok
3f3a,ok
3f3e,ok
3f3d,ok
3f3c,ok
4mme,ok
3rsx,ok
2j7h,ok
2cet,ok
3udh,ok
2vkm,ok
4djv,ok
4jfs,ok
4gid,ok
1s38,ok
4j28,ok
3rr4,ok
3gc5,ok
2wvt,ok
3ge7,ok
4dli,ok
1r5y,ok
2xii,ok
4pcs,ok
2zb1,ok
3e92,ok
3e93,ok
3r88,ok
4gkm,ok
4f9w,ok
4owm,ok
3twp,ok
3gv9,ok
3qqs,ok
3gr2,ok
4kz6,ok
4jxs,ok
1bzc,ok
2hb1,ok
2qbp,ok
2qbq,ok
2qbr,ok
2r9w,ok
1ydr,ok
1q8t,ok
1ydt,ok
3fcq,ok
1q8u,ok
1z9g,ok
4tmn,ok
5tmn,ok
1qf1,ok
4ddh,ok
4ddk,ok
3ivg,ok
3ag9,ok
3pxf,ok
3coz,ok
2xnb,ok
3coy,ok
2fvd,ok
1pxn,ok
4ivd,ok
4eor,ok
4e5w,ok
4k77,ok
4ivc,ok
4f09,ok
4ivb,ok
4jia,ok
2brb,ok
3jvs,ok
3jvr,ok
1nvq,ok
4ea2,ok
2br1,ok
3acw,ok
4gfm,ok
4hge,ok
4e6q,ok
2zcr,ok
3u9q,ok
2zcq,ok
2zy1,ok
1bcu,ok
1oyt,ok
2zda,ok
3utu,ok
3bv9,ok
3b1m,ok
3fur,ok
2yfe,ok
3e5a,ok
3uo4,ok
2wtv,ok
2p4y,ok
3up2,ok
3kgp,ok
3myg,ok
3kwa,ok
1owh,ok
4jsz,ok
1sqa,ok
1o5b,ok
1c5z,ok
2weg,ok
2xdl,ok
3dd0,ok
1yc1,ok
3ryj,ok
3b27,ok
1z95,ok
3b65,ok
3b5r,ok
2yki,ok
3g0w,ok
3b68,ok
3rlr,ok
1p1n,ok
1p1q,ok
4u4s,ok
1vso,ok
1syi,ok
2al5,ok
3g31,ok
3g2z,ok
4dld,ok
3gbb,ok
4de2,ok
4de1,ok
4de3,ok
3fv2,ok
2qe4,ok
1qkt,ok
3fv1,ok
4mgd,ok
1z6e,ok
2xbv,ok
2p15,ok
2pog,ok
1mq6,ok
1lpg,ok
1nc3,ok
2y5h,ok
1nc1,ok
4f2w,ok
1y6r,ok
1k1i,ok
4f3c,ok
3gy4,ok
2fxs,ok
4abg,ok
1o3f,ok
1uto,ok
2yge,ok
2iwx,ok
4kzq,ok
2wer,ok
2vw5,ok
4j21,ok
4j3l,ok
3kr8,ok
4kzu,ok
2ymd,ok
2wnc,ok
2wn9,ok
3ozt,ok
2xys,ok
3oe5,ok
3ozs,ok
3nw9,ok
3ao4,ok
2x00,ok
3oe4,ok
3zt2,ok
4cig,ok
3zso,ok
3zsx,ok
3n76,ok
4ciw,ok
2xb8,ok
3n7a,ok
3uev,ok
3nq9,ok
3uew,ok
3ueu,ok
4w9i,ok
4w9l,ok
3n86,ok
3uex,ok
3lka,ok
4w9c,ok
4bkt,ok
3ehy,ok
3nx7,ok
3tsk,ok
4gr0,ok
3d6q,ok
1w4o,ok
1u1b,ok
3dxg,ok
1o0h,ok
4w9h,ok
