feature,r_with_HAC,p
hac.1,1.0,0.0
mw,0.977,1.2932005806872842e-164
contact_C_6_8,0.839,5.321275272874271e-66
vina_gauss2,0.833,4.9860250881212e-64
contact_C_4_6,0.819,2.672799842776933e-60
vina_hydrophobic,0.741,9.337622952094146e-44
buried_sasa_C,0.739,1.990042797683699e-43
vina_gauss1,0.706,3.7626412815712555e-38
rotatable_bonds,0.697,8.681529026536323e-37
ring_count,0.692,4.567182784260007e-36
contact_C_2_4,0.634,6.867539205153545e-29
hba,0.533,2.7209758648457416e-19
buried_unsatisfied_acceptors,0.506,2.885660642028034e-17
clogp,0.502,5.617920285490978e-17
n_acceptors,0.437,8.882732929764047e-13
tpsa,0.434,1.288650026793889e-12
contact_N_6_8,0.312,6.618573951338596e-07
contact_N_4_6,0.306,1.093502080618938e-06
buried_unsatisfied_donors,0.234,0.0002191770728944595
vina_repulsion,0.228,0.000332971824789972
n_donors,0.216,0.0006756028101782784
hbd,0.212,0.000863979706865086
fraction_csp3,-0.183,0.004051739108961014
polar_satisfaction_fraction,-0.174,0.006295745360885513
contact_O_6_8,0.173,0.006708605860649851
contact_S_6_8,0.149,0.020260673729121506
contact_O_4_6,0.142,0.026454710060257333
buried_sasa_O,0.141,0.027416861256544578
contact_N_2_4,0.135,0.03503587209155882
hbond_count,0.127,0.046840313608461366
contact_X_0_2,-0.126,0.04900658183843051
contact_O_2_4,0.119,0.06282676945205154
contact_S_4_6,0.111,0.08382990910001006
contact_N_0_2,0.109,0.08934597153372151
contact_X_6_8,0.071,0.27250539942709506
contact_X_4_6,0.064,0.32263231768393646
contact_O_0_2,-0.056,0.3840804238824381
buried_sasa_S,0.039,0.5443791247779511
buried_sasa_N,0.028,0.6613021993088097
contact_S_2_4,0.025,0.6949708504195444
vina_hbond,0.014,0.82717187402132
contact_X_2_4,0.005,0.9376375681484582
buried_sasa_X,,
buried_sasa_total,,
contact_C_0_2,,
contact_S_0_2,,
