pdbid,pKd,vina,vinardo,hac,status
4llx,2.89,-5.022,-4.072,9,ok
5c28,5.66,-6.158,-4.644,12,ok
3ui7,9.0,-8.441,-5.562,24,ok
5c2h,11.09,-9.633,-6.717,31,ok
2v00,3.66,-6.727,-5.072,16,ok
3wz8,5.82,-9.002,-6.974,33,ok
3pww,7.32,-10.631,-8.291,49,ok
3prs,7.82,-8.405,-6.356,50,ok
4m0z,5.19,-10.599,-7.412,24,ok
4m0y,6.46,-7.246,-4.807,22,ok
3qgy,7.8,-8.296,-5.368,30,ok
4qd6,8.64,-8.777,-5.984,35,ok
4rfm,10.05,-11.801,-9.531,36,ok
4cr9,4.1,-5.802,-4.576,13,ok
4cra,7.22,-9.52,-7.298,38,ok
4crc,8.72,-9.69,-7.262,39,ok
4ty7,9.52,-9.618,-7.258,35,ok
5aba,2.98,-5.187,-3.367,23,ok
5a7b,3.57,-6.855,-5.514,31,ok
4agn,3.97,-5.619,-4.548,24,ok
4agp,4.69,-6.358,-5.116,30,ok
4agq,5.01,-6.588,-5.345,30,ok
3bgz,6.26,-10.277,-8.352,24,ok
3jya,6.89,-7.491,-4.572,16,ok
2c3i,7.6,-8.543,-6.317,23,ok
4k18,8.96,,,,FAIL_receptor_prep
3mss,4.66,-12.312,-9.134,37,ok
3k5v,6.3,-12.044,-8.868,37,ok
3pyy,6.86,-12.314,-9.404,37,ok
2v7a,8.3,-9.15,-6.393,35,ok
4twp,10.0,,,,FAIL_receptor_prep
3wtj,6.53,-6.655,-4.533,16,ok
3zdg,7.1,-5.023,-3.233,13,ok
3u8k,8.66,-4.852,-2.603,16,ok
4qac,9.4,-10.456,-10.0,24,ok
3u8n,10.17,-4.931,-2.721,17,ok
2qnq,6.11,-8.876,-5.502,41,ok
1g2k,7.96,-9.518,-6.915,45,ok
1eby,9.7,-11.728,-9.421,48,ok
3o9i,11.82,-9.596,-7.556,42,ok
4lzs,4.8,-6.303,-5.043,15,ok
3u5j,5.61,-8.722,-7.06,22,ok
4wiv,6.26,-7.662,-6.093,27,ok
4ogj,6.79,-8.446,-5.913,37,ok
3p5o,7.3,-8.621,-6.13,30,ok
1ps3,2.28,-7.278,-6.546,16,ok
3dx1,3.58,-5.932,-5.945,9,ok
3d4z,4.89,-6.308,-5.724,14,ok
3dx2,6.82,-6.182,-5.465,12,ok
3ejr,8.57,-7.796,-6.588,25,ok
3l7b,2.4,-8.083,-6.017,19,ok
4eky,3.52,-9.703,-7.553,24,ok
3g2n,4.09,-8.555,-6.482,20,ok
3syr,5.1,-9.352,-7.582,20,ok
3ebp,5.91,-8.984,-5.411,28,ok
2w66,4.05,-5.024,-3.09,16,ok
2w4x,4.85,-5.603,-3.796,18,ok
2wca,5.6,-6.402,-4.323,27,ok
2xj7,6.66,-8.247,-6.389,16,ok
2vvn,7.3,-7.053,-5.322,16,ok
3aru,3.22,-5.524,-3.246,20,ok
3arv,5.64,-9.549,-5.609,25,ok
3ary,6.0,-5.986,-3.404,17,ok
3arq,6.4,-8.759,-4.598,36,ok
3arp,7.15,-8.456,-5.845,34,ok
4ih5,4.11,-6.259,-4.507,17,ok
4ih7,5.24,-7.499,-5.584,17,ok
3cj4,6.51,-6.294,-5.375,25,ok
4eo8,8.15,-7.356,-6.226,27,ok
3gnw,9.1,-9.648,-5.846,44,ok
1gpk,5.37,-10.129,-7.91,18,ok
1gpn,6.48,-10.014,-7.115,19,ok
1h23,8.35,-9.667,-7.941,36,ok
1h22,9.1,-9.714,-7.802,34,ok
1e66,9.89,-11.687,-9.069,21,ok
3f3a,4.19,,,,FAIL_receptor_prep
3f3c,6.02,,,,FAIL_receptor_prep
4mme,6.5,,,,FAIL_receptor_prep
3f3d,7.16,,,,FAIL_receptor_prep
3f3e,7.7,,,,FAIL_receptor_prep
2wbg,4.45,-7.177,-5.317,22,ok
2cbv,5.48,-6.515,-5.652,12,ok
2j78,6.42,-5.709,-5.347,13,ok
2j7h,7.19,-5.731,-5.445,10,ok
2cet,8.02,-8.645,-7.087,22,ok
3udh,2.85,-7.114,-5.856,14,ok
3rsx,4.41,-6.897,-5.807,16,ok
2vkm,8.74,-10.415,-8.255,47,ok
4gid,10.77,-10.805,-8.975,47,ok
4jfs,5.27,-5.665,-4.184,17,ok
4j28,5.7,-5.832,-4.312,17,ok
2wvt,6.12,-5.007,-4.563,13,ok
2xii,7.2,-9.022,-6.406,28,ok
4pcs,7.85,-7.214,-6.242,16,ok
3rr4,4.55,-7.501,-5.231,18,ok
1s38,5.15,-7.773,-6.634,13,ok
1r5y,6.46,-6.131,-4.722,13,ok
3gc5,7.26,-8.303,-6.467,20,ok
3ge7,8.7,-9.426,-7.28,26,ok
4dli,5.62,-8.804,-6.302,21,ok
2zb1,6.32,-10.52,-8.76,26,ok
4f9w,6.94,-10.246,-8.091,25,ok
3e92,8.0,-12.588,-11.732,26,ok
3e93,8.85,-13.334,-10.333,37,ok
4owm,2.96,-6.898,-5.344,22,ok
3twp,3.92,,,,FAIL_receptor_prep
3r88,4.82,-7.223,-5.571,22,ok
4gkm,5.17,-6.702,-4.855,22,ok
3qqs,5.82,-7.136,-5.445,22,ok
3gv9,2.12,-1.301,-0.192,12,ok
3gr2,2.52,-3.78,-3.052,14,ok
4kz6,3.1,-4.976,-3.896,15,ok
4jxs,4.74,-6.598,-5.62,22,ok
2r9w,5.1,,,,FAIL_receptor_prep
2hb1,3.8,-5.315,-3.608,14,ok
1bzc,4.92,-8.154,-7.058,29,ok
2qbr,6.33,-7.18,-5.17,28,ok
2qbq,7.44,-7.696,-5.351,31,ok
2qbp,8.4,-8.298,-5.437,37,ok
1q8t,4.76,-6.447,-4.127,18,ok
1ydr,5.52,-7.561,-4.116,20,ok
1q8u,5.96,-6.271,-3.564,22,ok
1ydt,7.32,-8.341,-5.745,27,ok
3fcq,2.77,-4.983,-4.117,14,ok
1z9g,5.64,-4.81,-3.59,17,ok
1qf1,7.32,-7.087,-6.016,26,ok
5tmn,8.04,-7.121,-5.659,32,ok
4tmn,10.17,-8.229,-6.826,36,ok
4ddk,2.29,-6.052,-4.029,12,ok
4ddh,3.32,-6.132,-4.124,15,ok
3ivg,4.3,-8.281,-4.995,29,ok
3coz,5.57,-9.737,-7.152,30,ok
3coy,6.02,-10.388,-7.545,31,ok
3pxf,4.43,-5.901,-4.962,21,ok
4eor,6.3,-8.671,-5.698,28,ok
2xnb,6.83,-9.322,-5.908,27,ok
1pxn,7.15,,,,FAIL_receptor_prep
2fvd,8.52,-8.511,-5.902,30,ok
4k77,6.63,-6.739,-3.898,18,ok
4ivb,8.72,-9.79,-6.659,23,ok
