pdbid,pKd,vina,vinardo,hac,buried_sasa_C,buried_sasa_N,buried_sasa_O,buried_sasa_S,buried_sasa_X,buried_sasa_total,buried_unsatisfied_acceptors,buried_unsatisfied_donors,clogp,contact_C_0_2,contact_C_2_4,contact_C_4_6,contact_C_6_8,contact_N_0_2,contact_N_2_4,contact_N_4_6,contact_N_6_8,contact_O_0_2,contact_O_2_4,contact_O_4_6,contact_O_6_8,contact_S_0_2,contact_S_2_4,contact_S_4_6,contact_S_6_8,contact_X_0_2,contact_X_2_4,contact_X_4_6,contact_X_6_8,fraction_csp3,hba,hbd,hbond_count,mw,n_acceptors,n_donors,polar_satisfaction_fraction,ring_count,rotatable_bonds,tpsa,vina_gauss1,vina_gauss2,vina_hbond,vina_hydrophobic,vina_repulsion
4llx,2.89,-5.022,-4.072,9,199.59371666051592,69.8548011368997,0.0,0.0,23.963131188501777,293.4116489859174,1,0,0.6756399999999999,0,23,118,340,0,16,72,213,0,0,0,0,0,0,0,0,0,14,60,146,0.3333333333333333,3,1,2,123.15900000000002,2,1,0.6666666666666666,1,0,51.8,56.72430658603158,728.2243758945036,1.1151379195485323,56.30675358108353,1.8106295032279789
5c28,5.66,-6.158,-4.644,12,227.49312369512626,50.294933417815116,0.0,0.0,84.79441226813577,362.5824693810771,1,1,1.89802,0,35,200,510,0,10,60,195,0,0,0,0,0,0,0,0,0,10,75,190,0.5,3,1,1,183.642,2,1,0.3333333333333333,2,1,51.8,74.59073875093628,937.4708158281124,0.2866022481285377,92.20992975673806,2.7863141412398664
3ui7,9.0,-8.441,-5.562,24,367.5731503124437,57.53096883670068,23.81340215524957,0.0,13.086925920133762,462.0044472245277,3,0,2.56874,0,49,352,869,1,15,93,259,0,5,25,89,0,0,0,0,0,5,30,74,0.4444444444444444,5,1,3,326.3999999999999,5,1,0.5,4,3,63.27000000000001,106.86053155978288,1376.1683649903841,1.7112016866192385,139.66481568468245,6.109800116016819
5c2h,11.09,-9.633,-6.717,31,503.770881057993,40.621871479839754,7.744840756111966,23.806326126056263,80.2814614247315,656.2253808447325,3,1,5.683660000000006,0,88,590,1321,1,19,104,292,0,4,21,43,0,2,25,59,0,7,54,128,0.30434782608695654,7,1,2,453.9990000000002,5,1,0.3333333333333333,4,8,72.82000000000001,169.18068991625455,2026.6959753178817,1.0000700498573531,211.89069916444532,8.213427097903526
2v00,3.66,-6.727,-5.072,16,245.95674729087932,61.424545425199184,36.760998569094326,0.0,32.351870510754736,376.49416179592754,1,0,1.1373,0,43,270,755,0,23,97,178,0,11,21,40,0,0,0,0,2,27,91,166,0.16666666666666666,3,2,3,215.25599999999997,2,2,0.75,2,3,71.77000000000001,91.0562707268113,1253.8412632756558,2.167504860227126,86.38381840444926,5.0151304722702665
3wz8,5.82,-9.002,-6.974,33,482.4396014066915,8.357263952661059,50.830099308555006,31.1141033753973,16.993146126614093,589.7342141699191,0,1,5.7858000000000045,0,82,591,1360,0,9,72,139,0,23,37,79,0,4,23,37,2,11,57,162,0.1111111111111111,4,3,4,455.58300000000014,2,3,0.8,4,9,70.23,147.61165773444034,1969.024444343743,1.8643769636118002,166.642074621269,5.667858557864579
3pww,7.32,-10.631,-8.291,49,607.1761408233662,19.734869762333673,109.9519525404357,0.0,24.372081004710566,761.2350441308458,4,2,3.0924000000000023,0,91,753,1907,0,14,121,280,1,28,111,221,0,0,0,0,2,24,113,289,0.5,7,5,6,670.8549999999998,7,5,0.5,5,12,166.75,173.21852001098443,2921.834434910331,4.465934519574681,212.45034974795954,8.417843558994809
3prs,7.82,-8.405,-6.356,50,615.4966126402197,17.20551402508518,94.5690877153094,72.15582490070648,20.283842731872525,819.7108820131932,4,0,5.905200000000006,0,80,746,1822,0,12,122,263,0,40,109,231,0,2,47,100,0,30,95,219,0.43243243243243246,9,4,7,720.9619999999999,7,4,0.6363636363636364,4,17,145.78000000000003,184.76771918197284,2909.0883617046406,4.049248480730568,189.52666853857522,7.124048395431862
4m0z,5.19,-10.599,-7.412,24,345.748821976803,92.28944012039766,77.53400977152617,0.0,42.85925694498757,558.4315288137143,2,0,1.6236,0,65,514,1029,0,34,158,300,1,18,104,195,0,0,0,0,3,58,168,281,0.0625,4,3,5,325.3279999999998,4,3,0.7142857142857143,3,4,125.26,161.58587450636398,2083.773423210388,4.191353744280831,175.71298599438987,10.486190615536545
4m0y,6.46,-7.246,-4.807,22,267.9403153811262,92.07201015345274,49.485464257353485,0.0,35.57328866843803,445.07107846037025,2,0,1.6149999999999993,0,51,321,732,0,20,135,275,1,13,52,96,0,0,0,0,0,37,151,241,0.0,3,3,4,295.302,3,3,0.6666666666666666,3,3,116.02999999999999,107.210887229925,1526.2207449141274,2.6206900945576415,89.87325995278547,5.573967323524959
3qgy,7.8,-8.296,-5.368,30,368.98749284274294,35.36521150586066,58.86893936474295,30.189693403405453,13.355287488740768,506.76662460549284,4,1,4.902500000000004,0,56,453,1129,1,18,97,226,0,6,26,71,0,3,30,91,0,16,59,153,0.0,6,2,2,432.53000000000014,5,2,0.2857142857142857,5,4,97.97,106.42517021416838,1796.308413820677,1.620888621848621,140.84213578155564,6.406493247181518
4qd6,8.64,-8.777,-5.984,35,435.70902933507773,53.37026015525998,46.49078880738506,0.18023645137803967,20.805496280293138,556.5558110293941,4,1,4.763500000000004,0,58,516,1318,1,29,122,272,0,7,41,114,0,1,16,31,1,21,98,182,0.23076923076923078,7,4,4,489.60100000000034,5,4,0.4444444444444444,5,7,120.0,127.98110849366992,2090.3912422584517,2.2128332241089987,163.1011573794052,8.331474935970656
4rfm,10.05,-11.801,-9.531,36,339.22188168339073,54.19205975142687,61.37078082385338,1.4433114306582469,84.56352543498991,540.7915591243193,4,0,3.7852000000000032,0,53,479,1256,1,26,144,251,0,9,57,156,0,0,13,41,1,28,127,246,0.48,5,2,3,515.5860000000004,5,2,0.42857142857142855,6,5,109.73999999999998,141.3277659848069,2130.4814072327267,2.1545423324417516,188.35701544844946,5.081311602128785
4cr9,4.1,-5.802,-4.576,13,192.39240668956376,74.49210340768734,0.0,0.0,31.12232237100798,298.00683246825906,1,1,1.7076199999999997,0,42,328,593,0,21,90,178,0,0,0,0,0,0,0,0,0,25,113,227,0.1,3,2,1,173.219,1,2,0.3333333333333333,2,0,64.92999999999999,83.60072240892559,1154.7945039196657,0.22775218761992036,75.25820469937815,1.3791263589547698
4cra,7.22,-9.52,-7.298,38,414.1972302405949,63.85790671219716,100.42407227919625,0.0,40.07367506261956,618.5528842946078,3,2,3.0216000000000003,0,67,692,1498,0,23,160,269,1,24,78,149,0,0,0,0,1,33,166,333,0.10344827586206896,6,5,5,507.55000000000024,5,5,0.5,5,7,150.2,149.50422066672306,2549.5245595852,4.533878621403244,158.3660906728113,5.348747325776107
