pdbid,uniprot_ids
4llx,Q9Y233
5c28,Q9Y233
3uuo,Q9Y233
3ui7,Q9Y233
5c2h,Q9Y233
2v00,P11838
3wz8,P11838
3pww,P11838
3prs,P11838
3uri,P11838
4m0z,Q08881
4m0y,Q08881
3qgy,Q08881
4qd6,Q08881
4rfm,Q08881
4cr9,P03951
4cra,P03951
4x6p,P03951
4crc,P03951
4ty7,P03951
5aba,P04637
5a7b,P04637
4agn,P04637
4agp,P04637
4agq,P04637
3bgz,P11309
3jya,P11309
2c3i,P11309
4k18,P11309
5dwr,P11309
3mss,P00520
3k5v,P00520
3pyy,P00519
2v7a,P00519
4twp,P00519
3wtj,P58154
3zdg,P58154
3u8k,P58154
4qac,P58154
3u8n,P58154
1a30,P04585
2qnq,P03367
1g2k,P04587
1eby,P03366
3o9i,P03369
4lzs,O60885
3u5j,O60885
4wiv,O60885
4ogj,O60885
3p5o,O60885
1ps3,Q24451
3dx1,Q24451
3d4z,Q24451
3dx2,Q24451
3ejr,Q24451
3l7b,P00489
4eky,P00489
3g2n,P00489
3syr,P00489
3ebp,P00489
2w66,Q89ZI2
2w4x,Q89ZI2
2wca,Q89ZI2
2xj7,Q89ZI2
2vvn,Q89ZI2
3aru,Q9AMP1
3arv,Q9AMP1
3ary,Q9AMP1
3arq,Q9AMP1
3arp,Q9AMP1
4ih5,P26663
4ih7,P26663
3cj4,P26663
4eo8,P26663
3gnw,O92972
1gpk,P04058
1gpn,P04058
1h23,P04058
1h22,P04058
1e66,P04058
3f3a,O67854
3f3c,O67854
4mme,O67854
3f3d,O67854
3f3e,O67854
2wbg,Q08638
2cbv,Q08638
2j78,Q08638
2j7h,Q08638
2cet,Q08638
3udh,P56817
3rsx,P56817
4djv,P56817
2vkm,P56817
4gid,P56817
4jfs,Q8A3I4
4j28,Q8A3I4
2wvt,Q8A3I4
2xii,Q8A3I4
4pcs,Q8A3I4
3rr4,P28720
1s38,P28720
1r5y,P28720
3gc5,P28720
3ge7,P28720
4dli,Q16539
2zb1,Q16539
4f9w,Q16539
3e92,Q16539
3e93,Q16539
4owm,P9WFX5
3twp,P9WFX5
3r88,P9WFX5
4gkm,P9WFX5
3qqs,P9WFX5
3gv9,P00811
3gr2,P00811
4kz6,P00811
4jxs,P00811
2r9w,P00811
2hb1,P18031
1bzc,P18031
2qbr,P18031
2qbq,P18031
2qbp,P18031
1q8t,P00517;P61925
1ydr,P00517;P61925
1q8u,P00517;P63249
1ydt,P00517;P63249
3ag9,P00517
3fcq,P00800
1z9g,P00800
1qf1,P00800
5tmn,P00800
4tmn,P00800
4ddk,P9WIL5
4ddh,P9WIL5
3ivg,P9WIL5
3coz,P9WIL5
3coy,P9WIL5
3pxf,P24941
4eor,P20248;P24941
2xnb,P24941
1pxn,P24941
2fvd,P24941
4k77,P23458
4e5w,P23458
4ivb,P23458
4ivd,P23458
4ivc,P23458
4f09,O60674
4gfm,O60674
4hge,O60674
4e6q,O60674
4jia,O60674
2brb,O14757
2br1,O14757
3jvr,O14757
3jvs,O14757
1nvq,O14757
3acw,A9JQL9
4ea2,A9JQL9
2zcr,A9JQL9
2zy1,A9JQL9
2zcq,A9JQL9
1bcu,P00734;P01050
3bv9,P00734
1oyt,P00734;P28506
2zda,P00734;P01050
3utu,P00734;P01050
3u9q,P37231;Q9UBK2
2yfe,P37231
3fur,P37231;Q15788
3b1m,P37231;Q9UBK2
2p4y,P37231
3uo4,O14965
3up2,O14965
3e5a,O14965;Q9ULW0
2wtv,O14965
3myg,O14965
3kgp,P00749
1c5z,P00749
1o5b,P00749
1owh,P00749
1sqa,P00749
4jsz,P00918
3kwa,P00918
2weg,P00918
3ryj,P00918
3dd0,P00918
2xdl,P07900
3b27,P07900
1yc1,P07900
3rlr,P07900
2yki,P07900
1z95,P10275
3b68,P10275
3b5r,P10275
3b65,P10275
3g0w,P15207
4u4s,P19491
1p1q,P19491
1syi,P19491
1p1n,P19491
2al5,P19491
3g2z,Q9L5C8
3g31,Q9L5C8
4de2,Q9L5C8
4de3,Q9L5C8
4de1,Q9L5C8
1vso,P22756
4dld,P22756
3gbb,P22756
3fv2,P39086
3fv1,P39086
4mgd,P03372;Q15788
2qe4,P03372
1qkt,P03372
2pog,P03372
2p15,P03372;Q15596
2y5h,P00742
1lpg,P00742
2xbv,P00742
1z6e,P00742
1mq6,P00742
1nc3,P0AF12
1nc1,P0AF12
1y6r,P0AF12
4f2w,E8NLP5
4f3c,E8NLP5
1uto,P00760
4abg,P00760
3gy4,P00760
1k1i,P00760
1o3f,P00760
2yge,P02829
2fxs,P02829
2iwx,P02829
2wer,P02829
2vw5,P02829
4kzq,Q9H2K2
4kzu,Q9H2K2
4j21,Q9H2K2
4j3l,Q9H2K2
3kr8,Q9H2K2
2ymd,Q8WSF8
2wnc,Q8WSF8
2xys,Q8WSF8
2wn9,Q8WSF8
2x00,Q8WSF8
3ozt,P22734
3ozs,P22734
3oe5,P22734
3oe4,P22734
3nw9,P22734
3ao4,Q72498
3zt2,P12497
3zsx,P12497
4cig,P12497
3zso,P12497
3n7a,P9WPX7
4ciw,P9WPX7
3n86,P9WPX7
3n76,P9WPX7
2xb8,P9WPX7
4bkt,P40337;Q15369;Q15370
4w9c,P40337;Q15369;Q15370
4w9l,P40337;Q15369;Q15370
4w9i,P40337;Q15369;Q15370
4w9h,P40337;Q15369;Q15370
3nq9,P02754
3ueu,P02754
3uev,P02754
3uew,P02754
3uex,P02754
3lka,P39900
3ehy,P39900
3tsk,P39900
3nx7,P39900
4gr0,P39900
3dxg,P61823
3d6q,P61823
1w4o,P61823
1o0h,P61823
1u1b,P61823
