ID,SMILES,crystal_affinity,ensemble_best_affinity,ensemble_best_conformer,ensemble_mean_affinity,ensemble_sd_affinity,ensemble_range_affinity,overall_best_affinity,overall_best_structure,delta_ensemble_vs_crystal,H_Bonds,QED,SA_Score,True_Affinity,Baseline_Affinity,Winning_Conformation,1EZM_baseline_crystal.pdb,lasb_conformer_beta0.0.pdb,lasb_conformer_beta0.8.pdb,lasb_conformer_beta1.6.pdb,lasb_conformer_beta2.4.pdb,lasb_conformer_beta3.2.pdb
Cmpd-Unk,C[C@H](C(=O)O)[C@H]1S[C@@H]2N=CO[C@@H]3[C@H](O)[C@@H](COCC[C@H](O)CC(=N)C(=O)O)[C@H]1[C@H]32,-6.201,-7.991,lasb_conformer_beta0.8.pdb,-7.481,0.3267927477775477,0.8979999999999997,-7.991,lasb_conformer_beta0.8.pdb,1.79,0,,,-7.991,-6.201,lasb_conformer_beta0.8.pdb,-6.201,-7.528,-7.991,-7.093,-7.392,-7.401
Cmpd-Unk,ON[C@@H](O)CO[C@@H](O)[C@](O)(c1ccccn1)[C@@H](O)c1ccccc1,-6.014,-7.438,lasb_conformer_beta0.8.pdb,-7.079,0.3092878917772242,0.6639999999999997,-7.438,lasb_conformer_beta0.8.pdb,1.4239999999999995,1,,,-7.438,-6.014,lasb_conformer_beta0.8.pdb,-6.014,-7.383,-7.438,-6.946,-6.854,-6.774
Cmpd-Unk,Cc1cccc2c1[C@H](O)[C@@H](C(=O)CNCO)[S@@]2(C)O,-5.632,-7.372,lasb_conformer_beta3.2.pdb,-6.8542,0.3588930202720582,0.9100000000000001,-7.372,lasb_conformer_beta3.2.pdb,1.7400000000000002,6,,,-7.372,-5.632,lasb_conformer_beta3.2.pdb,-5.632,-6.662,-7.052,-6.462,-6.723,-7.372
Cmpd-Unk,C[C@]12[C@@H]3CCCN[C@H]3[C@]3(CO3)[S@](=O)[C@@]1(O)[C@H](O)C[C@@H]2O,-5.596,-7.298,lasb_conformer_beta3.2.pdb,-6.6986,0.3945254110954073,0.9610000000000003,-7.298,lasb_conformer_beta3.2.pdb,1.702,4,,,-7.298,-5.596,lasb_conformer_beta3.2.pdb,-5.596,-6.666,-6.337,-6.361,-6.831,-7.298
Cmpd-Unk,C=C(OC)OC(=O)C[C@@H]([C@H](O)CC(N)=O)[C@@]1([C@H]2CNOC2)C=CC=CC1,-5.996,-7.093,lasb_conformer_beta0.0.pdb,-6.5748,0.4446635806989371,1.1870000000000003,-7.093,lasb_conformer_beta0.0.pdb,1.0969999999999995,4,,,-7.093,-5.996,lasb_conformer_beta0.0.pdb,-5.996,-7.093,-6.79,-6.658,-6.427,-5.906
Cmpd-Unk,CC1(C)C[C@@]2(c3ccc(O)cc3)[C@@H](C[C@@H](N)O)O[C@H](OCC=O)[C@@H]2O1,-5.725,-7.087,lasb_conformer_beta0.0.pdb,-6.5026,0.38140372310715553,0.9979999999999993,-7.087,lasb_conformer_beta0.0.pdb,1.362,3,,,-7.087,-5.725,lasb_conformer_beta0.0.pdb,-5.725,-7.087,-6.643,-6.323,-6.089,-6.371
Cmpd-Unk,N=C1OCN([C@H](c2n[nH]o2)[C@@H]2S[C@](CO)(NC(=O)O)[C@@H](O)[C@]23CO3)O1,-6.68,-6.965,lasb_conformer_beta0.8.pdb,-6.437,0.3379423027677949,0.9409999999999998,-6.965,lasb_conformer_beta0.8.pdb,0.28500000000000014,0,,,-6.965,-6.68,lasb_conformer_beta0.8.pdb,-6.68,-6.436,-6.965,-6.402,-6.358,-6.024
Cmpd-Unk,CC[C@H](O)C(=C[C@@](O)(C(=O)O)[C@H]1CC[C@@H](OC)O1)C(=O)C(C)C,-4.724,-6.913,lasb_conformer_beta2.4.pdb,-6.4096,0.5416828407841623,1.3680000000000003,-6.913,lasb_conformer_beta2.4.pdb,2.189,1,,,-6.913,-4.724,lasb_conformer_beta2.4.pdb,-4.724,-6.702,-6.238,-6.65,-6.913,-5.545
Cmpd-Unk,CC=N[C@H]1[C@@H]2CCC3(CCOCC3)[C@@H]2O[C@@]1(O)C(C)=O,-5.155,-6.877,lasb_conformer_beta2.4.pdb,-6.242,0.40745735973227915,1.1129999999999995,-6.877,lasb_conformer_beta2.4.pdb,1.7219999999999995,1,,,-6.877,-5.155,lasb_conformer_beta2.4.pdb,-5.155,-6.137,-6.116,-6.316,-6.877,-5.764
Cmpd-Unk,NCNC(=O)CC[C@@H](Cl)C[C@H](CO)C(O)O,-4.751,-6.658,lasb_conformer_beta3.2.pdb,-6.1822,0.3285889529488173,0.8410000000000002,-6.658,lasb_conformer_beta3.2.pdb,1.907,3,,,-6.658,-4.751,lasb_conformer_beta3.2.pdb,-4.751,-6.237,-6.266,-5.933,-5.817,-6.658
Cmpd-Unk,O=CCOc1ccccc1O[C@@H]([C@@H](CO)CS)N(CC(=O)O)CC(=O)O,-5.409,-6.616,lasb_conformer_beta0.0.pdb,-6.0328,0.6417972421255798,1.3479999999999999,-6.616,lasb_conformer_beta0.0.pdb,1.2069999999999999,1,,,-6.616,-5.409,lasb_conformer_beta0.0.pdb,-5.409,-6.616,-5.409,-6.503,-6.368,-5.268
Cmpd-Unk,CC[C@@H](NC(=O)C(C)=O)C(N[C@H](CO)[C@@H](C)N)c1ccccc1,-5.151,-6.604,lasb_conformer_beta0.0.pdb,-6.5252,0.10892979390414721,0.2709999999999999,-6.604,lasb_conformer_beta0.0.pdb,1.4530000000000003,1,,,-6.604,-5.151,lasb_conformer_beta0.0.pdb,-5.151,-6.604,-6.333,-6.56,-6.567,-6.562
Cmpd-Unk,CCO[C@H](CO)[C@H](CC)C[C@@H]1C2=C(CCCN2)NC(=O)N1COC(C)C,-5.105,-6.475,lasb_conformer_beta0.8.pdb,-6.074599999999999,0.29377763699778103,0.6890000000000001,-6.475,lasb_conformer_beta0.8.pdb,1.3699999999999992,1,,,-6.475,-5.105,lasb_conformer_beta0.8.pdb,-5.105,-5.786,-6.475,-5.901,-6.292,-5.919
Cmpd-Unk,CC[C@@H](CO[C@@H](C=O)C(=O)O)CS(O)(O)O,-4.582,-6.195,lasb_conformer_beta0.8.pdb,-5.5736,0.5103658491709648,1.2430000000000003,-6.195,lasb_conformer_beta0.8.pdb,1.6130000000000004,1,,,-6.195,-4.582,lasb_conformer_beta0.8.pdb,-4.582,-5.152,-6.195,-4.952,-5.748,-5.821
Cmpd-Unk,CO[S@H]1O[C@]1(C(=O)O)[C@]12O[C@H]1C[C@]2(C)CCN,-5.294,-6.087,lasb_conformer_beta2.4.pdb,-5.7692,0.24626956775046333,0.6440000000000001,-6.087,lasb_conformer_beta2.4.pdb,0.7930000000000001,3,,,-6.087,-5.294,lasb_conformer_beta2.4.pdb,-5.294,-5.812,-5.624,-5.88,-6.087,-5.443
Cmpd-Unk,CSC1C=N[C@@H]2C[C@@H](O)N[C@H]2[C@@H]1O,-4.367,-6.003,lasb_conformer_beta2.4.pdb,-5.5558,0.30214433636922605,0.806,-6.003,lasb_conformer_beta2.4.pdb,1.6360000000000001,3,,,-6.003,-4.367,lasb_conformer_beta2.4.pdb,-4.367,-5.553,-5.197,-5.641,-6.003,-5.385
Cmpd-Unk,CO[C@@H]1[C@H](O)[C@@H](CO)N(C(=O)O)O[C@H]1O,-4.711,-5.901,lasb_conformer_beta0.0.pdb,-5.757,0.13665833307925296,0.3650000000000002,-5.901,lasb_conformer_beta0.0.pdb,1.1899999999999995,2,,,-5.901,-4.711,lasb_conformer_beta0.0.pdb,-4.711,-5.901,-5.787,-5.741,-5.82,-5.536
Cmpd-Unk,CCC[C@@H]1CCC(NCCO)=N1,-4.12,-5.847,lasb_conformer_beta0.8.pdb,-5.5382,0.20136831925603405,0.5280000000000005,-5.847,lasb_conformer_beta0.8.pdb,1.7270000000000003,4,,,-5.847,-4.12,lasb_conformer_beta0.8.pdb,-4.12,-5.567,-5.847,-5.319,-5.553,-5.405
Cmpd-Unk,CC(C)C[C@@H](CC=O)[C@@H](OC(=O)O)[C@@H](C)C=O,-4.552,-5.754,lasb_conformer_beta3.2.pdb,-5.4744,0.20814009705003975,0.5179999999999998,-5.754,lasb_conformer_beta3.2.pdb,1.202,1,,,-5.754,-4.552,lasb_conformer_beta3.2.pdb,-4.552,-5.352,-5.236,-5.415,-5.615,-5.754
Cmpd-Unk,C[C@@H]([C@H](O)CF)[C@@H]1C[C@]1(CO)C(=O)O,-4.514,-5.454,lasb_conformer_beta0.0.pdb,-5.317,0.13309395177843344,0.30799999999999983,-5.454,lasb_conformer_beta0.0.pdb,0.9399999999999995,0,,,-5.454,-4.514,lasb_conformer_beta0.0.pdb,-4.514,-5.454,-5.234,-5.308,-5.443,-5.146
