condition,ligand,receptor,seed,ok,out_pdbqt,n_poses,best_score
A,1U4G_HPI,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_1U4G_HPI_beta0.0_s1_out.pdbqt,20,-7.923
A,1U4G_HPI,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_1U4G_HPI_beta3.2_s2_out.pdbqt,20,-6.706
B,1U4G_HPI,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_1U4G_HPI_1EZM_apo_s1_out.pdbqt,20,-5.947
B,1U4G_HPI,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_1U4G_HPI_1EZM_apo_s2_out.pdbqt,20,-6.016
A,3DBK_RDF,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_3DBK_RDF_beta0.0_s1_out.pdbqt,20,-8.439
A,3DBK_RDF,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_3DBK_RDF_beta3.2_s2_out.pdbqt,20,-8.478
B,3DBK_RDF,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_3DBK_RDF_1EZM_apo_s1_out.pdbqt,20,-6.857
B,3DBK_RDF,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_3DBK_RDF_1EZM_apo_s2_out.pdbqt,20,-6.853
A,6F8B_CXH,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_6F8B_CXH_beta0.0_s1_out.pdbqt,20,-5.275
A,6F8B_CXH,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_6F8B_CXH_beta3.2_s2_out.pdbqt,20,-5.7
B,6F8B_CXH,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_6F8B_CXH_1EZM_apo_s1_out.pdbqt,20,-4.177
B,6F8B_CXH,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_6F8B_CXH_1EZM_apo_s2_out.pdbqt,20,-4.173
A,6FZX_EEK,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_6FZX_EEK_beta0.0_s1_out.pdbqt,20,-7.222
A,6FZX_EEK,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_6FZX_EEK_beta3.2_s2_out.pdbqt,20,-7.207
B,6FZX_EEK,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_6FZX_EEK_1EZM_apo_s1_out.pdbqt,20,-6.301
B,6FZX_EEK,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_6FZX_EEK_1EZM_apo_s2_out.pdbqt,20,-6.277
A,7QH1_CI8,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_7QH1_CI8_beta0.0_s1_out.pdbqt,20,-6.636
A,7QH1_CI8,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_7QH1_CI8_beta3.2_s2_out.pdbqt,20,-7.388
B,7QH1_CI8,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_7QH1_CI8_1EZM_apo_s1_out.pdbqt,20,-6.108
B,7QH1_CI8,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_7QH1_CI8_1EZM_apo_s2_out.pdbqt,20,-5.889
A,8R1B_XI5,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_8R1B_XI5_beta0.0_s1_out.pdbqt,20,-7.505
A,8R1B_XI5,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_8R1B_XI5_beta3.2_s2_out.pdbqt,20,-8.471
B,8R1B_XI5,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_8R1B_XI5_1EZM_apo_s1_out.pdbqt,20,-6.111
B,8R1B_XI5,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_8R1B_XI5_1EZM_apo_s2_out.pdbqt,20,-6.128
A,8CC4_U7F,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_8CC4_U7F_beta0.0_s1_out.pdbqt,19,-7.526
A,8CC4_U7F,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_8CC4_U7F_beta3.2_s2_out.pdbqt,20,-7.496
B,8CC4_U7F,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_8CC4_U7F_1EZM_apo_s1_out.pdbqt,20,-5.887
B,8CC4_U7F,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_8CC4_U7F_1EZM_apo_s2_out.pdbqt,20,-5.835
A,9FQD_A1IEX,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_9FQD_A1IEX_beta0.0_s1_out.pdbqt,20,-7.776
A,9FQD_A1IEX,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_9FQD_A1IEX_beta3.2_s2_out.pdbqt,20,-7.192
B,9FQD_A1IEX,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_9FQD_A1IEX_1EZM_apo_s1_out.pdbqt,20,-5.795
B,9FQD_A1IEX,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_9FQD_A1IEX_1EZM_apo_s2_out.pdbqt,20,-5.926
A,9FQE_A1IEU,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_9FQE_A1IEU_beta0.0_s1_out.pdbqt,20,-7.455
A,9FQE_A1IEU,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_9FQE_A1IEU_beta3.2_s2_out.pdbqt,20,-7.787
B,9FQE_A1IEU,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_9FQE_A1IEU_1EZM_apo_s1_out.pdbqt,20,-6.644
B,9FQE_A1IEU,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_9FQE_A1IEU_1EZM_apo_s2_out.pdbqt,20,-6.653
A,9FQX_A1IJJ,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_9FQX_A1IJJ_beta0.0_s1_out.pdbqt,20,-7.589
A,9FQX_A1IJJ,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_9FQX_A1IJJ_beta3.2_s2_out.pdbqt,20,-8.464
B,9FQX_A1IJJ,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_9FQX_A1IJJ_1EZM_apo_s1_out.pdbqt,20,-6.331
B,9FQX_A1IJJ,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_9FQX_A1IJJ_1EZM_apo_s2_out.pdbqt,20,-6.353
