condition,ligand,posebusters_pass,top1_rmsd
A,1U4G_HPI,True,2.748
B,1U4G_HPI,True,3.644
A,3DBK_RDF,True,2.463
B,3DBK_RDF,True,3.723
A,6F8B_CXH,True,0.872
B,6F8B_CXH,True,0.837
A,6FZX_EEK,True,1.322
B,6FZX_EEK,True,0.984
A,7QH1_CI8,True,1.486
B,7QH1_CI8,True,3.047
A,8R1B_XI5,True,1.512
B,8R1B_XI5,True,2.37
A,8CC4_U7F,True,1.236
B,8CC4_U7F,True,0.933
A,9FQD_A1IEX,True,1.975
B,9FQD_A1IEX,True,1.935
A,9FQE_A1IEU,True,2.977
B,9FQE_A1IEU,True,2.52
A,9FQX_A1IJJ,True,2.611
B,9FQX_A1IJJ,True,1.792
A,9FQY_A1IFN,True,2.048
B,9FQY_A1IFN,True,2.091
A,9FRY_A1IFU,True,0.781
B,9FRY_A1IFU,True,1.008
A,9FRZ_A1IFZ,True,2.762
B,9FRZ_A1IFZ,True,1.696
A,9GM4_A1IM0,True,1.719
B,9GM4_A1IM0,True,2.391
A,9FS0_A1IFY,True,1.178
B,9FS0_A1IFY,True,1.049
C,1U4G_HPI,True,1.312
C,3DBK_RDF,True,2.309
C,6F8B_CXH,True,0.672
C,6FZX_EEK,True,1.583
C,7QH1_CI8,True,2.696
C,8R1B_XI5,True,1.299
C,8CC4_U7F,True,1.057
C,9FQD_A1IEX,True,1.953
C,9FQE_A1IEU,True,1.958
C,9FQX_A1IJJ,True,2.193
C,9FQY_A1IFN,True,2.028
C,9FRY_A1IFU,True,0.933
C,9FRZ_A1IFZ,True,1.971
C,9GM4_A1IM0,True,0.899
C,9FS0_A1IFY,True,1.033
