ligand,condition,receptor,seed,pose_rank,vina_score,rmsd,posebusters_pass
1U4G_HPI,A,beta0.0,1,1,-7.923,2.748,True
1U4G_HPI,A,beta0.0,1,2,-7.863,3.206,
1U4G_HPI,A,beta0.0,1,3,-7.791,2.282,
1U4G_HPI,A,beta0.0,1,4,-7.786,3.684,
1U4G_HPI,A,beta0.0,1,5,-7.75,3.924,
1U4G_HPI,A,beta0.0,1,6,-7.717,1.567,
1U4G_HPI,A,beta0.0,1,7,-7.685,3.753,
1U4G_HPI,A,beta0.0,1,8,-7.624,3.891,
1U4G_HPI,A,beta0.0,1,9,-7.608,3.61,
1U4G_HPI,A,beta0.0,1,10,-7.496,3.072,
1U4G_HPI,A,beta0.0,1,11,-7.465,4.154,
1U4G_HPI,A,beta0.0,1,12,-7.464,3.566,
1U4G_HPI,A,beta0.0,1,13,-7.424,3.818,
1U4G_HPI,A,beta0.0,1,14,-7.304,4.003,
1U4G_HPI,A,beta0.0,1,15,-7.28,3.957,
1U4G_HPI,A,beta0.0,1,16,-7.262,4.424,
1U4G_HPI,A,beta0.0,1,17,-7.237,1.901,
1U4G_HPI,A,beta0.0,1,18,-7.229,3.64,
1U4G_HPI,A,beta0.0,1,19,-7.139,3.938,
1U4G_HPI,A,beta0.0,1,20,-7.097,4.176,
1U4G_HPI,A,beta3.2,2,1,-6.706,3.674,True
1U4G_HPI,A,beta3.2,2,2,-6.331,3.578,
1U4G_HPI,A,beta3.2,2,3,-6.289,3.914,
1U4G_HPI,A,beta3.2,2,4,-6.262,4.14,
1U4G_HPI,A,beta3.2,2,5,-6.146,4.044,
1U4G_HPI,A,beta3.2,2,6,-6.031,3.724,
1U4G_HPI,A,beta3.2,2,7,-5.902,4.181,
1U4G_HPI,A,beta3.2,2,8,-5.848,4.031,
1U4G_HPI,A,beta3.2,2,9,-5.836,3.604,
1U4G_HPI,A,beta3.2,2,10,-5.829,4.205,
1U4G_HPI,A,beta3.2,2,11,-5.799,1.639,
1U4G_HPI,A,beta3.2,2,12,-5.714,2.942,
1U4G_HPI,A,beta3.2,2,13,-5.687,4.243,
1U4G_HPI,A,beta3.2,2,14,-5.686,4.081,
1U4G_HPI,A,beta3.2,2,15,-5.63,3.667,
1U4G_HPI,A,beta3.2,2,16,-5.625,3.644,
1U4G_HPI,A,beta3.2,2,17,-5.612,2.545,
1U4G_HPI,A,beta3.2,2,18,-5.593,3.295,
1U4G_HPI,A,beta3.2,2,19,-5.564,3.763,
1U4G_HPI,A,beta3.2,2,20,-5.536,3.923,
1U4G_HPI,B,1EZM_apo,1,1,-5.947,4.091,True
1U4G_HPI,B,1EZM_apo,1,2,-5.888,3.634,
1U4G_HPI,B,1EZM_apo,1,3,-5.725,4.05,
1U4G_HPI,B,1EZM_apo,1,4,-5.664,3.919,
1U4G_HPI,B,1EZM_apo,1,5,-5.663,3.853,
1U4G_HPI,B,1EZM_apo,1,6,-5.643,3.691,
1U4G_HPI,B,1EZM_apo,1,7,-5.637,3.91,
1U4G_HPI,B,1EZM_apo,1,8,-5.62,3.671,
1U4G_HPI,B,1EZM_apo,1,9,-5.508,3.85,
1U4G_HPI,B,1EZM_apo,1,10,-5.46,3.819,
1U4G_HPI,B,1EZM_apo,1,11,-5.399,3.797,
1U4G_HPI,B,1EZM_apo,1,12,-5.381,4.048,
1U4G_HPI,B,1EZM_apo,1,13,-5.348,3.285,
1U4G_HPI,B,1EZM_apo,1,14,-5.294,4.341,
1U4G_HPI,B,1EZM_apo,1,15,-5.09,3.508,
1U4G_HPI,B,1EZM_apo,1,16,-5.037,4.072,
1U4G_HPI,B,1EZM_apo,1,17,-5.0,3.487,
1U4G_HPI,B,1EZM_apo,1,18,-4.967,4.013,
1U4G_HPI,B,1EZM_apo,1,19,-4.923,4.179,
1U4G_HPI,B,1EZM_apo,1,20,-4.885,4.306,
1U4G_HPI,B,1EZM_apo,2,1,-6.016,3.644,True
1U4G_HPI,B,1EZM_apo,2,2,-6.003,3.837,
1U4G_HPI,B,1EZM_apo,2,3,-5.98,3.883,
1U4G_HPI,B,1EZM_apo,2,4,-5.971,4.036,
1U4G_HPI,B,1EZM_apo,2,5,-5.939,4.026,
1U4G_HPI,B,1EZM_apo,2,6,-5.927,4.023,
1U4G_HPI,B,1EZM_apo,2,7,-5.898,3.783,
1U4G_HPI,B,1EZM_apo,2,8,-5.824,3.669,
1U4G_HPI,B,1EZM_apo,2,9,-5.822,3.759,
1U4G_HPI,B,1EZM_apo,2,10,-5.758,3.793,
1U4G_HPI,B,1EZM_apo,2,11,-5.719,4.157,
1U4G_HPI,B,1EZM_apo,2,12,-5.712,3.85,
1U4G_HPI,B,1EZM_apo,2,13,-5.647,3.736,
1U4G_HPI,B,1EZM_apo,2,14,-5.593,3.659,
1U4G_HPI,B,1EZM_apo,2,15,-5.468,3.717,
1U4G_HPI,B,1EZM_apo,2,16,-5.345,4.29,
1U4G_HPI,B,1EZM_apo,2,17,-5.329,3.314,
1U4G_HPI,B,1EZM_apo,2,18,-5.283,3.305,
1U4G_HPI,B,1EZM_apo,2,19,-5.166,3.935,
1U4G_HPI,B,1EZM_apo,2,20,-5.16,3.917,
3DBK_RDF,A,beta0.0,1,1,-8.439,3.296,True
3DBK_RDF,A,beta0.0,1,2,-8.196,1.79,
3DBK_RDF,A,beta0.0,1,3,-8.17,2.726,
3DBK_RDF,A,beta0.0,1,4,-8.091,2.182,
3DBK_RDF,A,beta0.0,1,5,-8.056,2.907,
3DBK_RDF,A,beta0.0,1,6,-7.964,1.884,
3DBK_RDF,A,beta0.0,1,7,-7.886,3.339,
3DBK_RDF,A,beta0.0,1,8,-7.789,2.117,
3DBK_RDF,A,beta0.0,1,9,-7.775,1.652,
3DBK_RDF,A,beta0.0,1,10,-7.742,2.518,
3DBK_RDF,A,beta0.0,1,11,-7.732,3.272,
3DBK_RDF,A,beta0.0,1,12,-7.73,2.793,
3DBK_RDF,A,beta0.0,1,13,-7.57,2.667,
3DBK_RDF,A,beta0.0,1,14,-7.562,2.621,
3DBK_RDF,A,beta0.0,1,15,-7.554,2.21,
3DBK_RDF,A,beta0.0,1,16,-7.493,2.64,
3DBK_RDF,A,beta0.0,1,17,-7.492,2.728,
3DBK_RDF,A,beta0.0,1,18,-7.476,3.395,
3DBK_RDF,A,beta0.0,1,19,-7.435,2.896,
3DBK_RDF,A,beta0.0,1,20,-7.403,3.005,
3DBK_RDF,A,beta3.2,2,1,-8.478,2.463,True
3DBK_RDF,A,beta3.2,2,2,-8.449,3.588,
3DBK_RDF,A,beta3.2,2,3,-8.438,2.738,
3DBK_RDF,A,beta3.2,2,4,-8.325,2.504,
3DBK_RDF,A,beta3.2,2,5,-8.265,3.153,
3DBK_RDF,A,beta3.2,2,6,-8.217,1.978,
3DBK_RDF,A,beta3.2,2,7,-8.198,3.229,
3DBK_RDF,A,beta3.2,2,8,-8.189,3.266,
3DBK_RDF,A,beta3.2,2,9,-8.114,3.26,
3DBK_RDF,A,beta3.2,2,10,-8.103,2.353,
3DBK_RDF,A,beta3.2,2,11,-8.032,2.812,
3DBK_RDF,A,beta3.2,2,12,-8.01,3.593,
3DBK_RDF,A,beta3.2,2,13,-7.949,2.271,
3DBK_RDF,A,beta3.2,2,14,-7.944,2.571,
3DBK_RDF,A,beta3.2,2,15,-7.86,3.346,
3DBK_RDF,A,beta3.2,2,16,-7.845,2.748,
3DBK_RDF,A,beta3.2,2,17,-7.82,2.948,
3DBK_RDF,A,beta3.2,2,18,-7.646,3.559,
3DBK_RDF,A,beta3.2,2,19,-7.566,3.649,
3DBK_RDF,A,beta3.2,2,20,-7.561,3.139,
3DBK_RDF,B,1EZM_apo,1,1,-6.857,3.723,True
3DBK_RDF,B,1EZM_apo,1,2,-6.816,3.645,
