id,receptor,pIC50,zbg_class,mw,heavy_atoms,mean_affinity,min_affinity,n_seeds,smiles,source
Engel_11,1EZM_apo,6.0,thiol,302.07,21,-5.7273,-5.855,3,O=C(Nc1ccc([N+](=O)[O-])cc1)C(S)Cc1ccccc1,PMC9112332
Engel_11,3DBK_holo,6.0,thiol,302.07,21,-8.3287,-8.345,3,O=C(Nc1ccc([N+](=O)[O-])cc1)C(S)Cc1ccccc1,PMC9112332
Engel_12,1EZM_apo,6.1549,thiol,287.1,20,-5.4767,-5.53,3,COc1ccc(NC(=O)C(S)Cc2ccccc2)cc1,PMC9112332
Engel_12,3DBK_holo,6.1549,thiol,287.1,20,-7.8897,-7.904,3,COc1ccc(NC(=O)C(S)Cc2ccccc2)cc1,PMC9112332
Engel_13,1EZM_apo,6.2218,thiol,273.08,19,-5.319,-5.379,3,O=C(Nc1ccc(O)cc1)C(S)Cc1ccccc1,PMC9112332
Engel_13,3DBK_holo,6.2218,thiol,273.08,19,-7.311,-7.529,3,O=C(Nc1ccc(O)cc1)C(S)Cc1ccccc1,PMC9112332
Engel_15,1EZM_apo,5.1308,thiol,289.08,20,-5.4603,-5.608,3,O=C(Nc1ccc(O)cc1)C(S)Cc1ccc(O)cc1,PMC9112332
Engel_15,3DBK_holo,5.1308,thiol,289.08,20,-7.186,-7.192,3,O=C(Nc1ccc(O)cc1)C(S)Cc1ccc(O)cc1,PMC9112332
Engel_16,1EZM_apo,5.6021,thiol,318.07,22,-6.061,-6.365,3,O=C(Nc1ccc(O)c([N+](=O)[O-])c1)C(S)Cc1ccccc1,PMC9112332
Engel_16,3DBK_holo,5.6021,thiol,318.07,22,-8.2807,-8.296,3,O=C(Nc1ccc(O)c([N+](=O)[O-])c1)C(S)Cc1ccccc1,PMC9112332
Engel_17,1EZM_apo,5.9586,thiol,291.05,19,-5.361,-5.409,3,O=C(Nc1ccc(Cl)cc1)C(S)Cc1ccccc1,PMC9112332
Engel_17,3DBK_holo,5.9586,thiol,291.05,19,-7.664,-7.671,3,O=C(Nc1ccc(Cl)cc1)C(S)Cc1ccccc1,PMC9112332
Engel_19,1EZM_apo,6.6198,thiol,321.05,21,-5.6747,-5.723,3,COC(=O)c1sccc1NC(=O)C(S)Cc1ccccc1,PMC9112332
Engel_19,3DBK_holo,6.6198,thiol,321.05,21,-7.5137,-7.535,3,COC(=O)c1sccc1NC(=O)C(S)Cc1ccccc1,PMC9112332
Engel_23,1EZM_apo,6.2218,thiol,314.05,21,-5.967,-5.976,3,O=C(Nc1nc2ccccc2s1)C(S)Cc1ccccc1,PMC9112332
Engel_23,3DBK_holo,6.2218,thiol,314.05,21,-7.695,-7.71,3,O=C(Nc1nc2ccccc2s1)C(S)Cc1ccccc1,PMC9112332
Engel_3,1EZM_apo,6.3188,thiol,271.1,19,-5.4433,-5.445,3,Cc1ccc(NC(=O)C(S)Cc2ccccc2)cc1,PMC9112332
Engel_3,3DBK_holo,6.3188,thiol,271.1,19,-7.7803,-7.784,3,Cc1ccc(NC(=O)C(S)Cc2ccccc2)cc1,PMC9112332
Engel_5,1EZM_apo,5.9208,thiol,257.09,18,-5.1657,-5.176,3,O=C(Nc1ccccc1)C(S)Cc1ccccc1,PMC9112332
Engel_5,3DBK_holo,5.9208,thiol,257.09,18,-7.4323,-7.448,3,O=C(Nc1ccccc1)C(S)Cc1ccccc1,PMC9112332
Phosphoramidon,1EZM_apo,6.6021,phosphoramidate,543.2,37,-6.817,-6.826,3,CC(C)C[C@H](NP(=O)(O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,PMC9404851/Morihara1978
Phosphoramidon,3DBK_holo,6.6021,phosphoramidate,543.2,37,-9.8503,-9.855,3,CC(C)C[C@H](NP(=O)(O)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,PMC9404851/Morihara1978
