mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,internal_energy,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,label,job,error
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0000_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0000_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0000_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0000_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0000_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0000_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0001_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0001_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0001_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0001_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0001_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0001_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0002_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0002_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0002_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0002_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0002_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0002_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0003_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0003_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0003_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0003_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0003_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0003_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0004_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0004_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0004_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0004_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0004_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0004_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0005_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0005_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0005_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0005_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0005_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0005_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0006_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0006_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0006_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0006_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0006_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0006_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0007_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0007_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0007_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0007_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0007_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0007_lasb_conformer_beta3.2,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0008_1EZM_baseline_crystal,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0008_lasb_conformer_beta0.0,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0008_lasb_conformer_beta0.8,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0008_lasb_conformer_beta1.6,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0008_lasb_conformer_beta2.4,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0008_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0009_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0009_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0009_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0009_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0009_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0009_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0010_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0010_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0010_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0010_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0010_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0010_lasb_conformer_beta3.2,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0011_1EZM_baseline_crystal,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0011_lasb_conformer_beta0.0,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0011_lasb_conformer_beta0.8,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0011_lasb_conformer_beta1.6,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0011_lasb_conformer_beta2.4,
True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0011_lasb_conformer_beta3.2,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0012_1EZM_baseline_crystal,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0012_lasb_conformer_beta0.0,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0012_lasb_conformer_beta0.8,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0012_lasb_conformer_beta1.6,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0012_lasb_conformer_beta2.4,
True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,phase4_ensemble,ens_s0012_lasb_conformer_beta3.2,
