label,job,receptor,strain_kcal_mol
phase4_ensemble,ens_s0000_1EZM_baseline_crystal,1EZM_baseline_crystal,143.16667859625952
phase4_ensemble,ens_s0000_lasb_conformer_beta0.0,lasb_conformer_beta0.0,127.3898025289148
phase4_ensemble,ens_s0000_lasb_conformer_beta0.8,lasb_conformer_beta0.8,127.85916270486607
phase4_ensemble,ens_s0000_lasb_conformer_beta1.6,lasb_conformer_beta1.6,131.23758853827098
phase4_ensemble,ens_s0000_lasb_conformer_beta2.4,lasb_conformer_beta2.4,136.24000717055958
phase4_ensemble,ens_s0000_lasb_conformer_beta3.2,lasb_conformer_beta3.2,129.60940639077117
phase4_ensemble,ens_s0001_1EZM_baseline_crystal,1EZM_baseline_crystal,109.17920866505405
phase4_ensemble,ens_s0001_lasb_conformer_beta0.0,lasb_conformer_beta0.0,114.24133232188053
phase4_ensemble,ens_s0001_lasb_conformer_beta0.8,lasb_conformer_beta0.8,104.39610238592492
phase4_ensemble,ens_s0001_lasb_conformer_beta1.6,lasb_conformer_beta1.6,103.91928096104037
phase4_ensemble,ens_s0001_lasb_conformer_beta2.4,lasb_conformer_beta2.4,104.18314129592504
phase4_ensemble,ens_s0001_lasb_conformer_beta3.2,lasb_conformer_beta3.2,107.26147954902586
phase4_ensemble,ens_s0002_1EZM_baseline_crystal,1EZM_baseline_crystal,108.11356096858623
phase4_ensemble,ens_s0002_lasb_conformer_beta0.0,lasb_conformer_beta0.0,102.99087481646097
phase4_ensemble,ens_s0002_lasb_conformer_beta0.8,lasb_conformer_beta0.8,115.50507641709532
phase4_ensemble,ens_s0002_lasb_conformer_beta1.6,lasb_conformer_beta1.6,101.70204379072305
phase4_ensemble,ens_s0002_lasb_conformer_beta2.4,lasb_conformer_beta2.4,102.16992463540652
phase4_ensemble,ens_s0002_lasb_conformer_beta3.2,lasb_conformer_beta3.2,115.52567069616629
phase4_ensemble,ens_s0003_1EZM_baseline_crystal,1EZM_baseline_crystal,192.1595928768707
phase4_ensemble,ens_s0003_lasb_conformer_beta0.0,lasb_conformer_beta0.0,186.1310640858302
phase4_ensemble,ens_s0003_lasb_conformer_beta0.8,lasb_conformer_beta0.8,189.60691051553036
phase4_ensemble,ens_s0003_lasb_conformer_beta1.6,lasb_conformer_beta1.6,184.56162664580154
phase4_ensemble,ens_s0003_lasb_conformer_beta2.4,lasb_conformer_beta2.4,194.88480229861494
phase4_ensemble,ens_s0003_lasb_conformer_beta3.2,lasb_conformer_beta3.2,190.83287479174763
phase4_ensemble,ens_s0004_1EZM_baseline_crystal,1EZM_baseline_crystal,132.51775199600817
phase4_ensemble,ens_s0004_lasb_conformer_beta0.0,lasb_conformer_beta0.0,145.37196306986544
phase4_ensemble,ens_s0004_lasb_conformer_beta0.8,lasb_conformer_beta0.8,136.321878131018
phase4_ensemble,ens_s0004_lasb_conformer_beta1.6,lasb_conformer_beta1.6,137.00965225526406
phase4_ensemble,ens_s0004_lasb_conformer_beta2.4,lasb_conformer_beta2.4,131.9594343129006
phase4_ensemble,ens_s0004_lasb_conformer_beta3.2,lasb_conformer_beta3.2,126.1971161375078
phase4_ensemble,ens_s0005_1EZM_baseline_crystal,1EZM_baseline_crystal,272.66508450969104
phase4_ensemble,ens_s0005_lasb_conformer_beta0.0,lasb_conformer_beta0.0,269.2417105100257
phase4_ensemble,ens_s0005_lasb_conformer_beta0.8,lasb_conformer_beta0.8,271.3429290479721
phase4_ensemble,ens_s0005_lasb_conformer_beta1.6,lasb_conformer_beta1.6,277.0019880501914
phase4_ensemble,ens_s0005_lasb_conformer_beta2.4,lasb_conformer_beta2.4,273.3239106478142
