ligand_id,ligand_class,receptor_id,seed,vina,vinardo,deltavinaXGB,heavy_atom_count,pIC50
Cmpd-0000,candidate,1EZM_baseline_crystal,,-6.201,-2.716,,,
Cmpd-0000,candidate,lasb_conformer_beta0.0,,-7.528,-3.769,,,
Cmpd-0000,candidate,lasb_conformer_beta0.8,,-7.991,-3.119,,,
Cmpd-0000,candidate,lasb_conformer_beta1.6,,-7.093,-3.617,,,
Cmpd-0000,candidate,lasb_conformer_beta2.4,,-7.392,-3.628,,,
Cmpd-0000,candidate,lasb_conformer_beta3.2,,-7.401,-3.722,,,
Cmpd-0001,candidate,1EZM_baseline_crystal,,-6.014,-3.186,,,
Cmpd-0001,candidate,lasb_conformer_beta0.0,,-7.383,-3.764,,,
Cmpd-0001,candidate,lasb_conformer_beta0.8,,-7.438,-3.918,,,
Cmpd-0001,candidate,lasb_conformer_beta1.6,,-6.946,-4.165,,,
Cmpd-0001,candidate,lasb_conformer_beta2.4,,-6.854,-3.821,,,
Cmpd-0001,candidate,lasb_conformer_beta3.2,,-6.774,-3.605,,,
Cmpd-0002,candidate,1EZM_baseline_crystal,,-5.632,-3.729,,,
Cmpd-0002,candidate,lasb_conformer_beta0.0,,-6.662,-5.235,,,
Cmpd-0002,candidate,lasb_conformer_beta0.8,,-7.052,-4.346,,,
Cmpd-0002,candidate,lasb_conformer_beta1.6,,-6.462,-3.494,,,
Cmpd-0002,candidate,lasb_conformer_beta2.4,,-6.723,-3.464,,,
Cmpd-0002,candidate,lasb_conformer_beta3.2,,-7.372,-4.856,,,
Cmpd-0003,candidate,1EZM_baseline_crystal,,-5.596,-3.593,,,
Cmpd-0003,candidate,lasb_conformer_beta0.0,,-6.666,-3.39,,,
Cmpd-0003,candidate,lasb_conformer_beta0.8,,-6.337,-3.21,,,
Cmpd-0003,candidate,lasb_conformer_beta1.6,,-6.361,-3.079,,,
Cmpd-0003,candidate,lasb_conformer_beta2.4,,-6.831,-3.378,,,
Cmpd-0003,candidate,lasb_conformer_beta3.2,,-7.298,-4.132,,,
Cmpd-0004,candidate,1EZM_baseline_crystal,,-5.996,-3.904,,,
Cmpd-0004,candidate,lasb_conformer_beta0.0,,-7.093,-5.074,,,
Cmpd-0004,candidate,lasb_conformer_beta0.8,,-6.79,-5.4,,,
Cmpd-0004,candidate,lasb_conformer_beta1.6,,-6.658,-4.803,,,
Cmpd-0004,candidate,lasb_conformer_beta2.4,,-6.427,-4.838,,,
Cmpd-0004,candidate,lasb_conformer_beta3.2,,-5.906,-5.516,,,
Cmpd-0005,candidate,1EZM_baseline_crystal,,-5.725,-3.322,,,
Cmpd-0005,candidate,lasb_conformer_beta0.0,,-7.087,-5.09,,,
Cmpd-0005,candidate,lasb_conformer_beta0.8,,-6.643,-4.775,,,
Cmpd-0005,candidate,lasb_conformer_beta1.6,,-6.323,-4.776,,,
Cmpd-0005,candidate,lasb_conformer_beta2.4,,-6.089,-4.455,,,
Cmpd-0005,candidate,lasb_conformer_beta3.2,,-6.371,-5.114,,,
Cmpd-0006,candidate,1EZM_baseline_crystal,,-6.68,-4.263,,,
Cmpd-0006,candidate,lasb_conformer_beta0.0,,-6.436,-4.92,,,
Cmpd-0006,candidate,lasb_conformer_beta0.8,,-6.965,-5.295,,,
Cmpd-0006,candidate,lasb_conformer_beta1.6,,-6.402,-4.677,,,
Cmpd-0006,candidate,lasb_conformer_beta2.4,,-6.358,-4.194,,,
Cmpd-0006,candidate,lasb_conformer_beta3.2,,-6.024,-4.163,,,
Cmpd-0007,candidate,1EZM_baseline_crystal,,-4.724,-3.104,,,
Cmpd-0007,candidate,lasb_conformer_beta0.0,,-6.702,-3.577,,,
Cmpd-0007,candidate,lasb_conformer_beta0.8,,-6.238,-4.592,,,
Cmpd-0007,candidate,lasb_conformer_beta1.6,,-6.65,-3.464,,,
Cmpd-0007,candidate,lasb_conformer_beta2.4,,-6.913,-4.068,,,
Cmpd-0007,candidate,lasb_conformer_beta3.2,,-5.545,-4.079,,,
Cmpd-0008,candidate,1EZM_baseline_crystal,,-5.155,-4.723,,,
Cmpd-0008,candidate,lasb_conformer_beta0.0,,-6.137,-3.771,,,
Cmpd-0008,candidate,lasb_conformer_beta0.8,,-6.116,-4.312,,,
Cmpd-0008,candidate,lasb_conformer_beta1.6,,-6.316,-3.7,,,
Cmpd-0008,candidate,lasb_conformer_beta2.4,,-6.877,-3.576,,,
Cmpd-0008,candidate,lasb_conformer_beta3.2,,-5.764,-3.625,,,
Cmpd-0009,candidate,1EZM_baseline_crystal,,-4.751,-3.243,,,
Cmpd-0009,candidate,lasb_conformer_beta0.0,,-6.237,-3.534,,,
Cmpd-0009,candidate,lasb_conformer_beta0.8,,-6.266,-2.833,,,
Cmpd-0009,candidate,lasb_conformer_beta1.6,,-5.933,-3.023,,,
Cmpd-0009,candidate,lasb_conformer_beta2.4,,-5.817,-3.453,,,
Cmpd-0009,candidate,lasb_conformer_beta3.2,,-6.658,-4.057,,,
Cmpd-0010,candidate,1EZM_baseline_crystal,,-5.409,-3.834,,,
Cmpd-0010,candidate,lasb_conformer_beta0.0,,-6.616,-4.665,,,
Cmpd-0010,candidate,lasb_conformer_beta0.8,,-5.409,-4.931,,,
Cmpd-0010,candidate,lasb_conformer_beta1.6,,-6.503,-4.695,,,
Cmpd-0010,candidate,lasb_conformer_beta2.4,,-6.368,-4.257,,,
Cmpd-0010,candidate,lasb_conformer_beta3.2,,-5.268,-5.374,,,
Cmpd-0011,candidate,1EZM_baseline_crystal,,-5.151,-3.164,,,
Cmpd-0011,candidate,lasb_conformer_beta0.0,,-6.604,-4.227,,,
Cmpd-0011,candidate,lasb_conformer_beta0.8,,-6.333,-4.362,,,
Cmpd-0011,candidate,lasb_conformer_beta1.6,,-6.56,-3.845,,,
Cmpd-0011,candidate,lasb_conformer_beta2.4,,-6.567,-3.44,,,
Cmpd-0011,candidate,lasb_conformer_beta3.2,,-6.562,-4.613,,,
Cmpd-0012,candidate,1EZM_baseline_crystal,,-5.105,-3.555,,,
Cmpd-0012,candidate,lasb_conformer_beta0.0,,-5.786,-3.734,,,
Cmpd-0012,candidate,lasb_conformer_beta0.8,,-6.475,-4.426,,,
Cmpd-0012,candidate,lasb_conformer_beta1.6,,-5.901,-4.216,,,
Cmpd-0012,candidate,lasb_conformer_beta2.4,,-6.292,-3.515,,,
Cmpd-0012,candidate,lasb_conformer_beta3.2,,-5.919,-4.313,,,
Cmpd-0013,candidate,1EZM_baseline_crystal,,-4.582,-4.061,,,
Cmpd-0013,candidate,lasb_conformer_beta0.0,,-5.152,-5.131,,,
Cmpd-0013,candidate,lasb_conformer_beta0.8,,-6.195,-5.417,,,
Cmpd-0013,candidate,lasb_conformer_beta1.6,,-4.952,-5.0,,,
Cmpd-0013,candidate,lasb_conformer_beta2.4,,-5.748,-4.994,,,
Cmpd-0013,candidate,lasb_conformer_beta3.2,,-5.821,-5.61,,,
Cmpd-0014,candidate,1EZM_baseline_crystal,,-5.294,-4.58,,,
Cmpd-0014,candidate,lasb_conformer_beta0.0,,-5.812,-5.572,,,
Cmpd-0014,candidate,lasb_conformer_beta0.8,,-5.624,-5.52,,,
Cmpd-0014,candidate,lasb_conformer_beta1.6,,-5.88,-4.283,,,
Cmpd-0014,candidate,lasb_conformer_beta2.4,,-6.087,-5.195,,,
Cmpd-0014,candidate,lasb_conformer_beta3.2,,-5.443,-4.726,,,
Cmpd-0015,candidate,1EZM_baseline_crystal,,-4.367,-3.307,,,
Cmpd-0015,candidate,lasb_conformer_beta0.0,,-5.553,-3.831,,,
Cmpd-0015,candidate,lasb_conformer_beta0.8,,-5.197,-3.554,,,
Cmpd-0015,candidate,lasb_conformer_beta1.6,,-5.641,-4.096,,,
Cmpd-0015,candidate,lasb_conformer_beta2.4,,-6.003,-3.917,,,
Cmpd-0015,candidate,lasb_conformer_beta3.2,,-5.385,-3.308,,,
Cmpd-0016,candidate,1EZM_baseline_crystal,,-4.711,-4.246,,,
Cmpd-0016,candidate,lasb_conformer_beta0.0,,-5.901,-4.849,,,
Cmpd-0016,candidate,lasb_conformer_beta0.8,,-5.787,-4.552,,,
Cmpd-0016,candidate,lasb_conformer_beta1.6,,-5.741,-4.489,,,
Cmpd-0016,candidate,lasb_conformer_beta2.4,,-5.82,-3.695,,,
Cmpd-0016,candidate,lasb_conformer_beta3.2,,-5.536,-4.572,,,
Cmpd-0017,candidate,1EZM_baseline_crystal,,-4.12,-3.304,,,
Cmpd-0017,candidate,lasb_conformer_beta0.0,,-5.567,-4.964,,,
Cmpd-0017,candidate,lasb_conformer_beta0.8,,-5.847,-4.411,,,
Cmpd-0017,candidate,lasb_conformer_beta1.6,,-5.319,-5.138,,,
Cmpd-0017,candidate,lasb_conformer_beta2.4,,-5.553,-5.072,,,
Cmpd-0017,candidate,lasb_conformer_beta3.2,,-5.405,-3.852,,,
Cmpd-0018,candidate,1EZM_baseline_crystal,,-4.552,-3.803,,,
Cmpd-0018,candidate,lasb_conformer_beta0.0,,-5.352,-4.715,,,
Cmpd-0018,candidate,lasb_conformer_beta0.8,,-5.236,-3.818,,,
Cmpd-0018,candidate,lasb_conformer_beta1.6,,-5.415,-4.621,,,
Cmpd-0018,candidate,lasb_conformer_beta2.4,,-5.615,-4.497,,,
Cmpd-0018,candidate,lasb_conformer_beta3.2,,-5.754,-3.719,,,
Cmpd-0019,candidate,1EZM_baseline_crystal,,-4.514,-3.042,,,
Cmpd-0019,candidate,lasb_conformer_beta0.0,,-5.454,-3.594,,,
Cmpd-0019,candidate,lasb_conformer_beta0.8,,-5.234,-3.686,,,
Cmpd-0019,candidate,lasb_conformer_beta1.6,,-5.308,-3.903,,,
Cmpd-0019,candidate,lasb_conformer_beta2.4,,-5.443,-3.643,,,
Cmpd-0019,candidate,lasb_conformer_beta3.2,,-5.146,-4.641,,,
Decoy-0000,decoy,0_0,,-8.149,,,,
