label,job,vinardo,error
phase4_ensemble,ens_s0000_1EZM_baseline_crystal,-2.716,
phase4_ensemble,ens_s0000_lasb_conformer_beta0.0,-3.769,
phase4_ensemble,ens_s0000_lasb_conformer_beta0.8,-3.119,
phase4_ensemble,ens_s0000_lasb_conformer_beta1.6,-3.617,
phase4_ensemble,ens_s0000_lasb_conformer_beta2.4,-3.628,
phase4_ensemble,ens_s0000_lasb_conformer_beta3.2,-3.722,
phase4_ensemble,ens_s0001_1EZM_baseline_crystal,-3.186,
phase4_ensemble,ens_s0001_lasb_conformer_beta0.0,-3.764,
phase4_ensemble,ens_s0001_lasb_conformer_beta0.8,-3.918,
phase4_ensemble,ens_s0001_lasb_conformer_beta1.6,-4.165,
phase4_ensemble,ens_s0001_lasb_conformer_beta2.4,-3.821,
phase4_ensemble,ens_s0001_lasb_conformer_beta3.2,-3.605,
phase4_ensemble,ens_s0002_1EZM_baseline_crystal,-3.729,
phase4_ensemble,ens_s0002_lasb_conformer_beta0.0,-5.235,
phase4_ensemble,ens_s0002_lasb_conformer_beta0.8,-4.346,
phase4_ensemble,ens_s0002_lasb_conformer_beta1.6,-3.494,
phase4_ensemble,ens_s0002_lasb_conformer_beta2.4,-3.464,
phase4_ensemble,ens_s0002_lasb_conformer_beta3.2,-4.856,
phase4_ensemble,ens_s0003_1EZM_baseline_crystal,-3.593,
phase4_ensemble,ens_s0003_lasb_conformer_beta0.0,-3.39,
phase4_ensemble,ens_s0003_lasb_conformer_beta0.8,-3.21,
phase4_ensemble,ens_s0003_lasb_conformer_beta1.6,-3.079,
phase4_ensemble,ens_s0003_lasb_conformer_beta2.4,-3.378,
phase4_ensemble,ens_s0003_lasb_conformer_beta3.2,-4.132,
phase4_ensemble,ens_s0004_1EZM_baseline_crystal,-3.904,
phase4_ensemble,ens_s0004_lasb_conformer_beta0.0,-5.074,
phase4_ensemble,ens_s0004_lasb_conformer_beta0.8,-5.4,
phase4_ensemble,ens_s0004_lasb_conformer_beta1.6,-4.803,
phase4_ensemble,ens_s0004_lasb_conformer_beta2.4,-4.838,
phase4_ensemble,ens_s0004_lasb_conformer_beta3.2,-5.516,
phase4_ensemble,ens_s0005_1EZM_baseline_crystal,-3.322,
phase4_ensemble,ens_s0005_lasb_conformer_beta0.0,-5.09,
phase4_ensemble,ens_s0005_lasb_conformer_beta0.8,-4.775,
phase4_ensemble,ens_s0005_lasb_conformer_beta1.6,-4.776,
phase4_ensemble,ens_s0005_lasb_conformer_beta2.4,-4.455,
phase4_ensemble,ens_s0005_lasb_conformer_beta3.2,-5.114,
phase4_ensemble,ens_s0006_1EZM_baseline_crystal,-4.263,
phase4_ensemble,ens_s0006_lasb_conformer_beta0.0,-4.92,
phase4_ensemble,ens_s0006_lasb_conformer_beta0.8,-5.295,
phase4_ensemble,ens_s0006_lasb_conformer_beta1.6,-4.677,
phase4_ensemble,ens_s0006_lasb_conformer_beta2.4,-4.194,
phase4_ensemble,ens_s0006_lasb_conformer_beta3.2,-4.163,
