apo_pdb,apo_chain,holo_pdb,holo_chain,ligand,motion_type,paper_all_ca_rmsd_nm,paper_lig_lining_rmsd_nm,set
3PPN,A,3PPR,B,4CS,id,0.124403201043605,0.118446022272109,validation
4W51,A,4W58,A,3H2,ssc,0.0719656646251678,0.122697077691555,validation
4I92,A,4I94,B,ANP,id,0.104720942676067,0.132454872131347,test
6E5D,A,6E5F,A,L6T,ssm,0.0793327018618583,0.134962201118469,validation
5H9A,A,6E5L,A,HVD,loop,0.0987700670957565,0.152535140514373,test
4IC4,A,4INQ,A,PIF,loop,0.0761295929551124,0.173822045326232,validation
1EZM,A,3DBK,A,RDF,id,0.124352745711803,0.177611857652664,validation
1S2O,A,1U2S,A,GLC,id,0.3336001932621,0.196709379553794,validation
1TVQ,A,1TW4,A,2xCHD,ssm,0.116176895797252,0.20017260313034,test
2OY4,A,3DPF,A,AXB,loop,0.0835869386792182,0.202034085988998,validation
5NIA,A,5NI6,A,DJ3,"ssm, loop",0.213773101568222,0.204740598797798,test
1Y1A,A,1Y1A,B,GSH,ssc,0.26612177491188,0.211760312318801,validation
3NX1,A,3NX2,A,FER,ssm,0.0882667824625969,0.218922287225723,test
1KX9,B,1N8V,B,3xBDD,ssm,0.179813459515571,0.224027499556541,test
5NZM,A,2OEG,A,UPG,id,0.260316580533981,0.229408845305442,test
6YPK,A,5OSZ,A,AHK:403,ssc,0.123862966895103,0.25234717130661,test
2CEY,A,6H76,A,SLB,id,0.285921663045883,0.262142896652221,test
1URP,A,2DRI,A,RIP,id,0.406189024448394,0.269504129886627,test
3FVJ,A,2B03,A,TUD,ssc,0.147015586495399,0.300271540880203,validation
3UGK,A,3UH1,A,"NAI,SHR","id, loop",0.318421423435211,0.303833603858947,test
2ZKU,B,3VQS,A,JT1,loop,0.125272646546363,0.304287999868392,test
5ZA4,A,5YYB,A,NGE,id,0.34346255660057,0.306678175926208,test
4V38,A,4V3B,A,C5P,id,0.374664217233657,0.312290072441101,test
3P53,A,6I11,A,H0H,id,0.397930145263671,0.322887986898422,test
2HQ8,B,2HPS,A,CTZ,ssm,0.401585161685943,0.32415759563446,test
2W9T,A,2W9S,C,"NDP,TOP",loop,0.162601068615913,0.362784326076507,test
4R72,A,4R74,D,F6P,id,0.411670684814453,0.367999136447906,test
3QXW,B,3QXV,A,MTX,ssc,0.104688972234725,0.370647996664047,test
3KJE,A,3KJG,A,ADP,ssc,0.16321961581707,0.376616060733795,validation
2LAO,A,1LAH,E,ORN,id,0.475467234849929,0.383864939212799,test
4P0I,B,5OTA,A,AQQ,id,0.498600482940673,0.435940235853195,validation
1KMO,A,1KMP,A,2xCIT-2xFe,"ssc, loop",0.178831025958061,0.463580816984176,test
1J8F,C,6QCN,B,AR6,id,0.341744869947433,0.467328876256942,validation
5UXA,A,5IGY,A,"GDP-Ca,ERY","ssc, ssm, id",0.266196101903915,0.47456556558609,validation
6HB0,A,6HBD,A,GZL,"id, ssc",0.413601845502853,0.508094012737274,test
2FJY,A,2P70,A,2xPRZ,lr,0.56058669090271,0.564510703086853,test
5G1M,A,5G3R,A,"89A,NAG","ssc, loop",0.317418247461318,0.815102517604827,test
6RVM,C,5XDT,A,ZI7-Ca,lr,1.05858242511749,1.17296206951141,validation
1K3F,B,1U1D,F,181,loop,0.203164651989936,0.44542372226715,validation
1OK8,A,1OKE,B,BOG,ssc,1.22884666919708,0.36603844165802,validation
2OHG,A,2OHV,A,NHL,loop,0.117331430315971,0.158668100833892,validation
2WGB,A,2V57,A,"PRL,IPA",lr,0.456112176179885,0.474555194377899,validation
3RWV,A,3S0K,A,03F,ssm,0.108793430030345,0.195015773177146,validation
2FD7,A,n/a,n/a,n/a,n/a,n/a,n/a,test
4HJK,A,n/a,n/a,n/a,n/a,n/a,n/a,validation
1IGD,A,n/a,n/a,n/a,n/a,n/a,n/a,validation
4TQL,B,n/a,n/a,n/a,n/a,n/a,n/a,test
2ALP,A,n/a,n/a,n/a,n/a,n/a,n/a,test
1AMM,A,n/a,n/a,n/a,n/a,n/a,n/a,test
