ligand,condition,n_poses,top1_rmsd,top1_score,top1_receptor,top1_seed,oracle_rmsd,oracle_score,oracle_receptor,oracle_seed,top1_success_2A,top1_success_1A,oracle_success_2A,oracle_success_1A
1U4G_HPI,A,40,2.748,-7.923,beta0.0,1,1.567,-7.717,beta0.0,1,False,False,True,False
1U4G_HPI,B,40,3.644,-6.016,1EZM_apo,2,3.285,-5.348,1EZM_apo,1,False,False,False,False
3DBK_RDF,A,40,2.463,-8.478,beta3.2,2,1.652,-7.775,beta0.0,1,False,False,True,False
3DBK_RDF,B,40,3.723,-6.857,1EZM_apo,1,2.035,-6.207,1EZM_apo,2,False,False,False,False
6F8B_CXH,A,40,0.872,-5.7,beta3.2,2,0.406,-4.054,beta3.2,2,True,True,True,True
6F8B_CXH,B,40,0.837,-4.177,1EZM_apo,1,0.201,-3.614,1EZM_apo,2,True,True,True,True
6FZX_EEK,A,40,1.322,-7.222,beta0.0,1,0.509,-7.003,beta0.0,1,True,False,True,True
6FZX_EEK,B,40,0.984,-6.301,1EZM_apo,1,0.794,-4.936,1EZM_apo,2,True,True,True,True
7QH1_CI8,A,40,1.486,-7.388,beta3.2,2,1.486,-7.388,beta3.2,2,True,False,True,False
7QH1_CI8,B,40,3.047,-6.108,1EZM_apo,1,1.922,-5.422,1EZM_apo,2,False,False,True,False
8R1B_XI5,A,40,1.512,-8.471,beta3.2,2,0.632,-6.866,beta3.2,2,True,False,True,True
8R1B_XI5,B,40,2.37,-6.128,1EZM_apo,2,0.971,-5.712,1EZM_apo,2,False,False,True,True
8CC4_U7F,A,39,1.236,-7.526,beta0.0,1,0.573,-7.239,beta0.0,1,True,False,True,True
8CC4_U7F,B,40,0.933,-5.887,1EZM_apo,1,0.571,-4.979,1EZM_apo,2,True,True,True,True
9FQD_A1IEX,A,40,1.975,-7.776,beta0.0,1,1.145,-6.261,beta0.0,1,True,False,True,False
9FQD_A1IEX,B,40,1.935,-5.926,1EZM_apo,2,0.983,-5.066,1EZM_apo,1,True,False,True,True
9FQE_A1IEU,A,40,2.977,-7.787,beta3.2,2,1.488,-6.719,beta0.0,1,False,False,True,False
9FQE_A1IEU,B,40,2.52,-6.653,1EZM_apo,2,1.625,-5.85,1EZM_apo,2,False,False,True,False
9FQX_A1IJJ,A,40,2.611,-8.464,beta3.2,2,0.684,-6.712,beta0.0,1,False,False,True,True
9FQX_A1IJJ,B,40,1.792,-6.353,1EZM_apo,2,1.221,-6.107,1EZM_apo,1,True,False,True,False
9FQY_A1IFN,A,40,2.048,-8.252,beta3.2,2,1.118,-7.052,beta3.2,2,False,False,True,False
9FQY_A1IFN,B,40,2.091,-6.149,1EZM_apo,2,1.556,-5.248,1EZM_apo,2,False,False,True,False
9FRY_A1IFU,A,40,0.781,-8.087,beta0.0,1,0.438,-7.317,beta0.0,1,True,True,True,True
9FRY_A1IFU,B,40,1.008,-5.587,1EZM_apo,2,0.674,-5.158,1EZM_apo,1,True,False,True,True
9FRZ_A1IFZ,A,40,2.762,-8.757,beta3.2,2,0.649,-7.764,beta0.0,1,False,False,True,True
9FRZ_A1IFZ,B,40,1.696,-6.494,1EZM_apo,2,0.842,-5.88,1EZM_apo,2,True,False,True,True
9GM4_A1IM0,A,40,1.719,-8.427,beta3.2,2,0.668,-6.343,beta0.0,1,True,False,True,True
9GM4_A1IM0,B,40,2.391,-6.232,1EZM_apo,2,0.786,-5.379,1EZM_apo,1,False,False,True,True
9FS0_A1IFY,A,40,1.178,-8.242,beta3.2,2,0.867,-8.019,beta0.0,1,True,False,True,True
9FS0_A1IFY,B,40,1.049,-6.023,1EZM_apo,1,0.949,-5.046,1EZM_apo,2,True,False,True,True
1U4G_HPI,C,40,1.312,-8.993,1U4G,1,0.727,-8.027,1U4G,1,True,False,True,True
3DBK_RDF,C,40,2.309,-9.285,3DBK,2,1.799,-7.982,3DBK,2,False,False,True,False
6F8B_CXH,C,40,0.672,-5.166,6F8B,1,0.439,-4.08,6F8B,1,True,True,True,True
6FZX_EEK,C,40,1.583,-8.094,6FZX,2,0.607,-6.22,6FZX,1,True,False,True,True
7QH1_CI8,C,40,2.696,-8.535,7QH1,2,1.596,-7.262,7QH1,2,False,False,True,False
8R1B_XI5,C,40,1.299,-8.037,8R1B,1,0.79,-6.345,8R1B,1,True,False,True,True
8CC4_U7F,C,40,1.057,-7.69,8CC4,1,0.633,-7.082,8CC4,2,True,False,True,True
9FQD_A1IEX,C,40,1.953,-8.076,9FQD,1,0.512,-7.53,9FQD,1,True,False,True,True
9FQE_A1IEU,C,40,1.958,-8.505,9FQE,2,0.612,-7.298,9FQE,1,True,False,True,True
9FQX_A1IJJ,C,40,2.193,-7.957,9FQX,1,1.108,-7.744,9FQX,2,False,False,True,False
9FQY_A1IFN,C,39,2.028,-8.268,9FQY,2,0.585,-7.933,9FQY,1,False,False,True,True
9FRY_A1IFU,C,40,0.933,-8.363,9FRY,2,0.395,-7.837,9FRY,2,True,True,True,True
9FRZ_A1IFZ,C,39,1.971,-9.136,9FRZ,2,1.124,-8.734,9FRZ,1,True,False,True,False
9GM4_A1IM0,C,40,0.899,-7.872,9GM4,2,0.725,-6.201,9GM4,2,True,True,True,True
9FS0_A1IFY,C,40,1.033,-8.693,9FS0,1,0.827,-6.868,9FS0,2,True,False,True,True
